city,neighbourhood,street,Area,Number of rooms,Floor,No. of floors,Building type,Heating system,Equipment,Building Energy Efficiency Class,Additional premises,Additional Equipment,Security,Nearest kindergarten,Nearest educational institution,Nearest shop,Public transport stop,crime,Price,Percent_Decrease,build_year,renovation_year,is_renovated,is_price_decreased,STREET,AVG_BIRTH_YEAR,TOTAL_CHILDREN,TOTAL_PEOPLE,TOTAL_DIVORCED,TOTAL_WIDOWED,TOTAL_MARRIED,TOTAL_SINGLE
Vilnius,Žirmūnai,Kalvarijų g.,27.07,2,9,9,Brick,Central,Partially equipped,,,,Steel doors Code door lock,120.0,200.0,290.0,110.0,15,69900,"1,3%",1990,1990.0,0,1,Kalvarijų g.,1984.0054495912807,250.0,734.0,76.0,57.0,253.0,348.0
Vilnius,Šnipiškės,Kalvarijų g.,54.19,3,7,9,Brick,Central,Partially equipped,,,,Steel doors Code door lock,120.0,200.0,290.0,110.0,15,137000,"5,4%",1990,1990.0,0,1,Kalvarijų g.,1976.0398847437064,1816.0,6594.0,924.0,626.0,2480.0,2564.0
Vilnius,Naujamiestis,Vytenio g.,45.33,2,2,5,Brick,Central thermostat,Fully equipped,A+,Balcony Parking space,Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower,Steel doors Alarm system Code door lock Video surveillance,90.0,210.0,310.0,270.0,14,238400,,2023,2023.0,0,0,Vytenio g.,1983.473136193253,542.0,2401.0,173.0,76.0,666.0,1486.0
Vilnius,Lazdynai,Architektų g.,66.0,4,4,9,Block house,Central,Fully equipped,,Balcony Cellar,Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath,Steel doors Code door lock Video surveillance,180.0,100.0,380.0,100.0,"56,76 €/month
~ 0,86 €/m²",134000,,1970,1970.0,0,0,Architektų g.,1975.3807254434737,4095.0,15108.0,1935.0,1554.0,5920.0,5699.0
Vilnius,Lazdynėliai,Žaibo g.,44.0,2,1,4,Brick,Central thermostat,Fully equipped,,,,,160.0,1800.0,390.0,360.0,0,159000,,2022,2022.0,0,0,,,,,,,,
Vilnius,Lazdynėliai,Žaibo g.,42.0,2,4,4,Brick,Central thermostat,Fully equipped,,,,,140.0,1800.0,390.0,360.0,"19,32 €/month
~ 0,46 €/m²",163000,,2022,2022.0,0,0,,,,,,,,
Vilnius,Baltupiai,Pušyno kel.,119.24,5,2,3,Brick,"Central thermostat, aerothermal, sun energy",Fully equipped,A,Storeroom Balcony Terrace Parking space Closet,Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath,Steel doors Alarm system Code door lock,520.0,660.0,720.0,140.0,2,395000,1%,2007,2007.0,0,1,,,,,,,,
Vilnius,Santariškės,Daujoto g.,71.24,3,1,4,Brick,Central thermostat,Fully equipped,A++,Balcony Terrace,Furniture Conditioner Washing machine Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation,Steel doors Alarm system Code door lock,1500.0,3400.0,360.0,470.0,1,249000,,2021,2021.0,0,0,,,,,,,,
Vilnius,Lazdynėliai,Žaibo g.,43.47,2,1,4,Brick,Central thermostat,Fully equipped,A,Terrace Parking space,Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Plastic pipes Dish washer Bath Recuperation,Steel doors Alarm system Code door lock Video surveillance,220.0,1700.0,380.0,370.0,0,155000,"2,4%",2022,2022.0,0,1,,,,,,,,
Vilnius,Lazdynai,Architektų g.,49.0,3,1,5,Block house,Central,Fully equipped,,,,,140.0,110.0,70.0,40.0,4,136500,,1970,1970.0,0,0,Architektų g.,1975.3807254434737,4095.0,15108.0,1935.0,1554.0,5920.0,5699.0
