city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Unique item number (RC number)
Vilnius;Bajorai;Salaspilio g.;162 500 € (3 236 €/m²);13;7;50,21 m²;2;1;4;2023;Brick;Gas;Fully equipped;A++;;Terrace;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Recuperation;Steel doors Code door lock;1,3 km;950 m;700 m;620 m;0;;
Vilnius;Karoliniškės;Loretos Asanavičiūtės g.;133 700 € (2 474 €/m²);8;;54,04 m²;3;3;9;1972;Block house;Central;Fully equipped;;Has elevator New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony Cellar Closet;Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors Code door lock;130 m;330 m;250 m;190 m;3;;
Vilnius;Karoliniškės;Sietyno g.;115 944 € (3 350 €/m²);3;A3-4;34,61 m²;2;3;5;2025;Brick;Central thermostat;Partially equipped;A++;Private yard;Balcony;Floor heating system;Steel doors Code door lock Video surveillance;210 m;370 m;200 m;150 m;0;;
Vilnius;Pilaitė;M. Mažvydo g.;94 000 € (2 734 €/m²);29;;34,38 m²;2;4;5;2024;Block house;Central thermostat;Partially equipped;A++;Has elevator New sewage system New electrical installation;Parking space;Floor heating system Recuperation;Steel doors Code door lock;440 m;620 m;360 m;160 m;4;;
Vilnius;Naujininkai;Kaminkelio g.;166 806 € (3 317 €/m²);23;;50,29 m²;2;3;4;2025;Monolithic;Central thermostat;Partially equipped;;;;;;320 m;260 m;260 m;490 m;2;;
Vilnius;Pilaitė;M. Pretorijaus g.;208 000 € (2 600 €/m²);;;80 m²;4;2;2;2024;Brick;Aerothermal, other;Partially equipped;;;;;;480 m;340 m;760 m;350 m;0;;
Vilnius;Fabijoniškės;Vėtrungių g.;115 900 € (2 940 €/m²);13;;39,42 m²;2;7;9;1990;Block house;Central;Fully equipped;;Has elevator New sewage system New electrical installation Kitchen merged with room;Balcony Cellar Closet;Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath;Steel doors Code door lock;120 m;260 m;350 m;120 m;3;;
Vilnius;Markučiai;Manufaktūrų g.;186 000 € (4 650 €/m²);9;;40 m²;2;3;6;2022;Block house;Central thermostat;Fully equipped;;Has elevator New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Shower Recuperation;Code door lock Video surveillance;170 m;720 m;50 m;250 m;"18,80 €/month
~ 0,47 €/m²";;
Vilnius;Naujamiestis;Marijampolės g.;154 575 € (3 750 €/m²);5;7;41,22 m²;2;2;7;2025;Brick;Central thermostat;Partially equipped;A+;;Balcony;Floor heating system Recuperation;Steel doors Code door lock Video surveillance;650 m;540 m;170 m;150 m;14;;
Vilnius;Fabijoniškės;P. Žadeikos g.;"Price decreased 3%
96 000 € (2 516 €/m²)";11;;38,16 m²;2;1;14;1993;Block house;Central;Fully equipped;;Has elevator New sewage system New electrical installation Internet Cable television Kitchen merged with room;Storeroom;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Alarm system Code door lock;400 m;350 m;130 m;80 m;5;;
