city;neighbourhood;street;price;House No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Flat No.;Building Energy Efficiency Class
Vilnius;Antakalnis;Antakalnio g.;175 000 € (2 778 €/m²);32;63 m²;3;1;6;1987;Brick;Central;Fully equipped;Separate bathroom and WC Internet;Storeroom Balcony Terrace Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;530 m;150 m;340 m;180 m;"75,60 €/month
~ 1,20 €/m²";;
Vilnius;Žirmūnai;Minties g.;109 900 € (2 501 €/m²);;43,94 m²;2;1;5;1967;Block house;Central;Fully equipped;;;;;270 m;400 m;200 m;70 m;"40,86 €/month
~ 0,93 €/m²";;
Vilnius;Naujamiestis;M. K. Čiurlionio g.;569 000 € (4 411 €/m²);19;129 m²;4;5;5;2000;Brick;Central thermostat;Fully equipped;Private yard Internet Cable television;;Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer Bath Recuperation;Steel doors Alarm system Code door lock;110 m;490 m;400 m;230 m;12;;
Vilnius;Šeškinė;Deltuvos g.;315 000 € (4 315 €/m²);;73 m²;3;7;8;2020;Brick;Central thermostat;Fully equipped;Private yard New sewage system Kitchen merged with room;Terrace;Shower Bath;Steel doors Code door lock;430 m;330 m;380 m;280 m;1;;
Vilnius;Justiniškės;Rygos g.;94 500 € (2 436 €/m²);;38,8 m²;1;1;9;2024;Brick;Central thermostat;Partially equipped;New sewage system New electrical installation Internet Cable television;Terrace;;Steel doors Code door lock;180 m;360 m;110 m;210 m;9;;B
Vilnius;Senamiestis;Bokšto g.;"Price decreased 2,5%
117 000 € (4 865 €/m²)";7;24,05 m²;1;1;3;1940;Brick;Central;Fully equipped;High ceiling New sewage system New electrical installation Internet Cable television Kitchen merged with room;Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;500 m;100 m;90 m;140 m;"30,06 €/month
~ 1,25 €/m²";;
Vilnius;Senamiestis;Šv. Stepono g.;299 000 € (3 469 €/m²);15;86,19 m²;4;4;4;1973;Brick;Central;Fully equipped;;Storeroom Balcony Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath;Steel doors Code door lock;150 m;130 m;80 m;130 m;44;;
Vilnius;Žirmūnai;Tuskulėnų g.;"Price decreased 5,7%
99 000 € (2 661 €/m²)";;37,21 m²;1;8;12;1979;Brick;Central;Fully equipped;;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;300 m;280 m;90 m;120 m;30;;
Vilnius;Užupis;Varpų g.;169 500 € (3 050 €/m²);;55,58 m²;2;1;5;1980;Brick;Central;Fully equipped;;;;;120 m;260 m;570 m;180 m;3;;
Vilnius;Pilaitė;Tilžės g.;258 000 € (2 699 €/m²);;95,6 m²;4;1;2;2022;Brick;Gas;Fully equipped;;;;;470 m;470 m;720 m;640 m;4;;
