city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Unique item number (RC number);Object
Vilnius;Šiaurės miestelis;V. Nagevičiaus g.;129 000 € (3 437 €/m²);1;;37,53 m²;2;1;5;2005;Brick;Central thermostat;Fully equipped;;;Cellar;;;220 m;90 m;310 m;290 m;16;;
Vilnius;Užupis;Polocko g.;530 000 € (5 761 €/m²);;;92 m²;3;1;3;2017;Brick;Central thermostat;Fully equipped;;;;;;400 m;240 m;230 m;60 m;10;;
Vilnius;Lazdynėliai;Lazdynėlių g.;183 500 € (3 164 €/m²);;;58 m²;3;2;4;2024;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Internet Kitchen merged with room;Balcony Parking space;;Steel doors Code door lock;290 m;1,6 km;290 m;300 m;0;;
Vilnius;Naujininkai;Darbininkų g.;102 000 € (2 050 €/m²);;;49,75 m²;2;2;5;1978;Brick;Central;Fully equipped;;New sewage system New electrical installation Internet;;Washing machine Furniture Kitchen furniture Stove Plastic pipes Shower;;230 m;150 m;120 m;180 m;13;;
Vilnius;Naujininkai;Kapsų g.;56 500 € (2 260 €/m²);;;25 m²;1;2;5;1977;Brick;Central;Fully equipped;;New sewage system New electrical installation Internet;;Washing machine Furniture Kitchen furniture Stove Plastic pipes Shower;;270 m;300 m;160 m;410 m;4;;
Vilnius;Pašilaičiai;Dociškių g.;114 600 € (3 074 €/m²);7;;37,28 m²;2;7;7;2014;Brick;Central thermostat;Fully equipped;;Has elevator Kitchen merged with room;Storeroom Balcony Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;370 m;420 m;140 m;150 m;"22,37 €/month
~ 0,60 €/m²";;
Vilnius;Pašilaičiai;Dociškių g.;114 600 € (3 074 €/m²);7;;37,28 m²;1;7;7;2014;Brick;Central thermostat;Fully equipped;;Has elevator Private yard Kitchen merged with room;Storeroom Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;370 m;420 m;140 m;150 m;"22,37 €/month
~ 0,60 €/m²";;
Vilnius;Šnipiškės;Linkmenų g.;192 500 € (4 551 €/m²);31;;42,3 m²;2;4;5;2020;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors;410 m;490 m;440 m;450 m;"19,04 €/month
~ 0,45 €/m²";;
Vilnius;Senamiestis;Savičiaus g.;200 000 € (4 424 €/m²);6;;45,21 m²;2;3;3;1940;Brick;Central;Fully equipped;;High ceiling Flat in an attic New sewage system New electrical installation Private yard Internet Kitchen merged with room;;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Dish washer Shower;Steel doors Code door lock Video surveillance;490 m;100 m;30 m;210 m;"58,77 €/month
~ 1,30 €/m²";;
Vilnius;Naujamiestis;M. K. Čiurlionio g.;460 000 € (5 764 €/m²);3;;79,8 m²;2;4;7;2017;Brick;Central thermostat;Fully equipped;;Kitchen merged with room;Terrace;Furniture Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Alarm system Code door lock;100 m;290 m;370 m;120 m;14;;
Vilnius;Lazdynai;M. Mironaitės g.;229 000 € (2 875 €/m²);22;;79,65 m²;3;2;6;2008;Brick;Central thermostat;Fully equipped;;;Balcony;Conditioner Washing machine Furniture Kitchen furniture Stove Bath;Steel doors Code door lock;640 m;970 m;520 m;90 m;0;;
Vilnius;Markučiai;Manufaktūrų g.;235 000 € (5 002 €/m²);7;;46,98 m²;2;1;5;2024;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Kitchen merged with room;Balcony;Furniture Conditioner Washing machine Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Alarm system Code door lock;290 m;610 m;130 m;310 m;4;;
Vilnius;Žirmūnai;Žirmūnų g.;115 000 € (3 833 €/m²);68;;30 m²;2;3;3;1960 construction, 2023 renovation;Brick;Central thermostat;Fully equipped;;High ceiling Two-floor flat New sewage system New electrical installation Kitchen merged with room;;Furniture Washing machine Kitchen furniture Stove Dish washer;Steel doors Code door lock;190 m;260 m;150 m;100 m;11;;
Vilnius;Žvėrynas;Paribio g.;199 000 € (4 366 €/m²);16;;45,58 m²;2;3;4;2023;Brick;Central thermostat;Partially equipped;A+;New sewage system New electrical installation Kitchen merged with room;Balcony;Floor heating system Recuperation;Steel doors Code door lock;100 m;340 m;470 m;390 m;4;;
Vilnius;Šnipiškės;Geležinio Vilko g.;130 000 € (3 881 €/m²);57A;;33,5 m²;2;2;2;1983 construction, 2023 renovation;Brick;Central thermostat;Fully equipped;;High ceiling Two-floor flat New sewage system New electrical installation Kitchen merged with room;Balcony;Furniture Conditioner Washing machine Floor heating system Kitchen furniture Stove Dish washer Recuperation;Steel doors Code door lock;390 m;710 m;270 m;370 m;34;;
Vilnius;Žirmūnai;Žirmūnų g.;149 900 € (3 059 €/m²);70C;;49 m²;2;4;9;2012;Brick;Central thermostat;Fully equipped;B;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Cellar Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Shower Bath;Steel doors Code door lock;10 m;590 m;210 m;180 m;"35,77 €/month
~ 0,73 €/m²";;
Vilnius;Fabijoniškės;P. Žadeikos g.;"Price decreased 3,2%
150 000 € (2 419 €/m²)";;;62 m²;2;5;7;2004;Brick;Central thermostat;Fully equipped;;Private yard;Storeroom Balcony Closet;;Steel doors Code door lock Video surveillance;450 m;290 m;90 m;130 m;4;;
Vilnius;Lazdynėliai;Neužmirštuolių g.;235 000 € (2 471 €/m²);7;;95,1 m²;4;5;5;1995;Brick;Central, electric;Fully equipped;;Separate bathroom and WC New sewage system Private yard;Balcony Cellar Parking space Closet;Refrigerator Kitchen furniture Stove Dish washer Bath;Alarm system Code door lock;410 m;1 km;220 m;170 m;0;;
